pais,_id,anio_aprobacion,sector_institucional,descripcion_proyecto,monto_bruto_usd,origen
Costa Rica,288,1993,Sector Público,LC - Banco Popular y de Desarrollo Comunal,750000.0,prestamos_sector_publico
Costa Rica,289,2006,Sector Público,Proyecto Sistema de Interconexión Eléctrica para los Países de América Central (Siepac),50000000.0,prestamos_sector_publico
El Salvador,290,1974,Sector Público,Cancelar al Banco el Saldo de los Préstamos Otorgados a Safie Hermanos S.A. de El Salvador Segun Escrituras Públicas de Fechas 5 de Julio de 1965 12 de Diciembre de 1968 28 de Agosto 1969 y 13 de Abril de 1971.,2000000.0,prestamos_sector_publico
Costa Rica,291,1998,Sector Público,LGC - Banco de Costa Rica,7000000.0,prestamos_sector_publico
Costa Rica,292,2011,Sector Público,Incremento LGC - Banco Internacional de Costa Rica  S.A. (BICSA),19000000.0,prestamos_sector_publico
Costa Rica,293,2022,Sector Público,OPD para apoyar acciones de política y resultados de desarrollo,290000000.0,prestamos_sector_publico
El Salvador,294,2004,Sector Público,Incremento LGC - Fondo Nacional de Vivienda Popular (FONAVIPO),7125000.0,prestamos_sector_publico
Costa Rica,295,1977,Sector Público,Financiamiento de los Costos Adicionales en las Obras de la Segunda Etapa del Acueducto Metropolitano,4350000.0,prestamos_sector_publico
Costa Rica,296,2013,Sector Público,Programa de Modernización de la Infraestructura Portuaria del Puerto de Moín,55000000.0,prestamos_sector_publico
Cuba,297,2022,Sector Público,Fortalecimiento de la Industria Biofarmacéutica Cubana para Combatir el COVID-19 en Cuba y la Región (Monto aprobado EUR 46 765 000.00),50000000.0,prestamos_sector_publico
Costa Rica,298,1987,Sector Público,Proyecto de Interconexión Entre Centrales Telefónicas por Medio del Sistema de Fibra Óptica de Costa Rica,3000000.0,prestamos_sector_publico
Costa Rica,299,1991,Sector Público,Proyecto Tanques y Redes en el Acueducto Metropolitano de San José y la Adquisición e Instalación de Hidrómetros,17700000.0,prestamos_sector_publico
Honduras,300,1968,Sector Público,Financiamiento Total de la Construcción del Tramo Danlí - Las Manos de la Carretera CA6,2500000.0,prestamos_sector_publico
El Salvador,301,1979,Sector Público,Construcción del Tramo de la II Etapa Chalatenango - sensuntepeque CA7 de la Carretera Denominada Longitudinal del Norte,14200000.0,prestamos_sector_publico
