_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional
128,2025,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,950000.0,cooperacion,Belice,Cooperación Técnica,
129,2021,3.0,,KTF,No Reembolsable,300000.0,cooperacion,Regional,Cooperación Técnica,
130,2018,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,
131,2021,1.0,,KTF,No Reembolsable,125000.0,cooperacion,El Salvador,Cooperación Técnica,
132,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
133,2017,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,64837.5,cooperacion,Guatemala,Cooperación Técnica,
134,2023,3.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,
135,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,
136,2022,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1122745.0,cooperacion,Regional,Cooperación Técnica,
137,2018,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1320000.0,cooperacion,Costa Rica,Cooperación Técnica,
138,2022,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
139,2017,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,
140,2018,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
141,2023,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Cooperación de Países Fundadores y Regionales no Fundadores,
142,2012,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,
143,2022,2.0,,KTF,No Reembolsable,200000.0,cooperacion,Regional,Cooperación Técnica,
144,2019,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,177850.0,cooperacion,Costa Rica,Cooperación Técnica,
145,2022,2.0,,KTF,No Reembolsable,1150000.0,cooperacion,El Salvador,Cooperación Técnica,
146,2017,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,88725.0,cooperacion,Honduras,Cooperación Técnica,
147,2018,1.0,,FIMCA,No Reembolsable,3691000.0,cooperacion,Guatemala,Cooperación Técnica,
148,2023,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,157434.45,cooperacion,República Dominicana,Cooperación Técnica,
149,2013,1.0,,Fondos Ordinarios,No Reembolsable,270000.0,cooperacion,Panamá,Otras Cooperaciones Financieras,
150,2022,1.0,,Fondos Ordinarios,No Reembolsable,700000.0,cooperacion,Regional,Otras Cooperaciones Financieras,
151,2019,1.0,,FVC - Fondo Verde para el Clima,No Reembolsable,562960.0,cooperacion,Costa Rica,Cooperación Técnica,
152,2023,2.0,,Fondos Ordinarios,No Reembolsable,1250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
153,2018,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
154,2018,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,44735.04,cooperacion,Guatemala,Cooperación Técnica,
155,2023,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,995000.0,cooperacion,República Dominicana,Cooperación Técnica,
156,2020,2.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,
157,2023,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,87200.0,cooperacion,Regional,Cooperación Técnica,
158,2020,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
159,2023,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,115500.0,cooperacion,El Salvador,Cooperación Técnica,
160,2018,2.0,,Facilidad FASEP ,No Reembolsable,1615335.23,cooperacion,Honduras,Cooperación Técnica,
161,2019,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,299722.5,cooperacion,Guatemala,Cooperación Técnica,
162,2023,1.0,,Fondos Ordinarios,No Reembolsable,110000.0,cooperacion,República Dominicana,Otras Cooperaciones Financieras,
163,2020,2.0,,KTF,No Reembolsable,391666.66,cooperacion,Panamá,Cooperación Técnica,
164,2023,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1358075.0,cooperacion,Regional,Cooperación Técnica,
165,2020,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,140614.5,cooperacion,Costa Rica,Cooperación Técnica,
166,2023,1.0,,Fondos Ordinarios,No Reembolsable,160000.0,cooperacion,El Salvador,Otras Cooperaciones Financieras,
167,2018,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,23100.0,cooperacion,Honduras,Cooperación Técnica,
168,2020,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
169,2024,1.0,,Fondos Ordinarios,No Reembolsable,600000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,
170,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,
171,2023,3.0,,KTF,No Reembolsable,1100000.0,cooperacion,Regional,Cooperación Técnica,
172,2020,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,916072.22,cooperacion,Costa Rica,Cooperación Técnica,
173,2024,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
174,2018,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2568754.1,cooperacion,Honduras,Cooperación Técnica,
175,2020,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,133987.5,cooperacion,Guatemala,Cooperación Técnica,
176,2024,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,393750.0,cooperacion,República Dominicana,Cooperación Técnica,
177,2021,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1262650.0,cooperacion,Panamá,Cooperación Técnica,
178,2024,2.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,1196710.0,cooperacion,Regional,Cooperación Técnica,
179,2020,2.0,,KTF,No Reembolsable,391666.66,cooperacion,Costa Rica,Cooperación Técnica,
180,2024,1.0,,Fondos Ordinarios,No Reembolsable,725000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,
181,2019,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
182,2020,3.0,,KTF,No Reembolsable,508333.33,cooperacion,Guatemala,Cooperación Técnica,
183,2024,2.0,,Fondos Ordinarios,No Reembolsable,725000.0,cooperacion,República Dominicana,Iniciativa PRODES,
184,2021,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2420000.0,cooperacion,Panamá,Cooperación Técnica,
185,2024,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1078686.8,cooperacion,Regional,Cooperación Técnica,
186,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
187,2014,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,82040.0,cooperacion,Institucional,Cooperación Técnica,
188,2019,6.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,371338.9,cooperacion,Honduras,Cooperación Técnica,
189,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
190,2025,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,99750.0,cooperacion,República Dominicana,Cooperación Técnica,
191,2021,2.0,,KTF,No Reembolsable,755000.0,cooperacion,Panamá,Cooperación Técnica,
192,2024,1.0,,TCPT - Taiwan CABEI Partnership Trust Fund,No Reembolsable,290000.0,cooperacion,Regional,Cooperación Técnica,
193,2021,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,199500.0,cooperacion,Costa Rica,Cooperación Técnica,
194,2016,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,162420.9,cooperacion,Institucional,Cooperación Técnica,
195,2020,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
196,2021,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,94500.0,cooperacion,Guatemala,Cooperación Técnica,
197,2025,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,199500.0,cooperacion,República Dominicana,Cooperación Técnica,
198,2022,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Panamá,Cooperación de Países Fundadores y Regionales no Fundadores,
199,2025,2.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,172000.0,cooperacion,Regional,Cooperación Técnica,
200,2021,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1020052.5,cooperacion,Costa Rica,Cooperación Técnica,
201,2021,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,26250.0,cooperacion,Institucional,Cooperación Técnica,
202,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,
203,2021,1.0,,KTF,No Reembolsable,125000.0,cooperacion,Guatemala,Cooperación Técnica,
204,2025,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,209576.85,cooperacion,República Dominicana,Cooperación Técnica,
