_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional,socio
143,2022,2.0,,KTF,No Reembolsable,200000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
144,2019,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,177850.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
145,2022,2.0,,KTF,No Reembolsable,1150000.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
146,2017,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,88725.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
147,2018,1.0,,FIMCA,No Reembolsable,3691000.0,cooperacion,Guatemala,Cooperación Técnica,,Fundador
148,2023,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,157434.45,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
149,2013,1.0,,Fondos Ordinarios,No Reembolsable,270000.0,cooperacion,Panamá,Otras Cooperaciones Financieras,,Regional No Fundador
150,2022,1.0,,Fondos Ordinarios,No Reembolsable,700000.0,cooperacion,Regional,Otras Cooperaciones Financieras,,Desconocido
151,2019,1.0,,FVC - Fondo Verde para el Clima,No Reembolsable,562960.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
152,2023,2.0,,Fondos Ordinarios,No Reembolsable,1250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
153,2018,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,,Fundador
154,2018,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,44735.04,cooperacion,Guatemala,Cooperación Técnica,,Fundador
155,2023,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,995000.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
156,2020,2.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
157,2023,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,87200.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
158,2020,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,,Fundador
159,2023,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,115500.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
160,2018,2.0,,Facilidad FASEP ,No Reembolsable,1615335.23,cooperacion,Honduras,Cooperación Técnica,,Fundador
161,2019,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,299722.5,cooperacion,Guatemala,Cooperación Técnica,,Fundador
162,2023,1.0,,Fondos Ordinarios,No Reembolsable,110000.0,cooperacion,República Dominicana,Otras Cooperaciones Financieras,,Regional No Fundador
163,2020,2.0,,KTF,No Reembolsable,391666.66,cooperacion,Panamá,Cooperación Técnica,,Regional No Fundador
164,2023,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1358075.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
165,2020,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,140614.5,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
166,2023,1.0,,Fondos Ordinarios,No Reembolsable,160000.0,cooperacion,El Salvador,Otras Cooperaciones Financieras,,Fundador
167,2018,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,23100.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
